"start","end","date","dev_id","ecotone_location","ecotone_location_latitude","ecotone_location_longitude","ecotone_location_altitude","ecotone_location_precision","ecotone_location_wkt","ecotone_image","notes","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by"
2024-06-08 09:53:45.475,2024-06-08 17:39:01.609,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2948569 36.8952807 1247.4440978859957 4.846",1.2948569,36.8952807,1247.444097886,4.846,"POINT (36.8952807 1.2948569 1247.4440978859957)","1717840450562.jpg","Acacia trees and scattered shrubs",347253491,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:5a46b4d2-7a3f-474a-9d67-b1c31ae49173","a4E8PDPfBLNHwfgjV8obmT","5a46b4d2-7a3f-474a-9d67-b1c31ae49173","submitted_via_web",2024-06-08 17:40:32,,"dtra_nk"
2024-06-08 12:02:50.104,2024-06-08 17:39:11.964,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2923981 36.9050788 1304.669671142084 4.977",1.2923981,36.9050788,1304.66967114208,4.977,"POINT (36.9050788 1.2923981 1304.669671142084)","1717848252494.jpg","Scattered acacia trees and trees",347253498,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:e8c73aed-3491-42a9-b7e6-17a3ab66dfe7","a4E8PDPfBLNHwfgjV8obmT","e8c73aed-3491-42a9-b7e6-17a3ab66dfe7","submitted_via_web",2024-06-08 17:40:33,,"dtra_nk"
2024-06-08 13:47:29.594,2024-06-08 17:39:24.872,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2855472 36.9007169 1246.9867267443346 4.869",1.2855472,36.9007169,1246.98672674433,4.869,"POINT (36.9007169 1.2855472 1246.9867267443346)","1717854536130.jpg",,347253505,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:545ac031-535e-4f0d-825d-5a0eec7795ed","a4E8PDPfBLNHwfgjV8obmT","545ac031-535e-4f0d-825d-5a0eec7795ed","submitted_via_web",2024-06-08 17:40:34,,"dtra_nk"
2024-06-08 13:52:24.797,2024-06-08 17:39:35.53,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2823621 36.8928144 1181.9725314644336 4.874",1.2823621,36.8928144,1181.97253146443,4.874,"POINT (36.8928144 1.2823621 1181.9725314644336)","1717854788491.jpg","Waterpoint- borehole",347253518,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:2174045d-6a33-4231-aa39-1ce67f3736c5","a4E8PDPfBLNHwfgjV8obmT","2174045d-6a33-4231-aa39-1ce67f3736c5","submitted_via_web",2024-06-08 17:40:36,,"dtra_nk"
2024-06-08 13:54:03.444,2024-06-08 17:39:47.095,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2824321 36.8927057 1181.5762822681527 4.917",1.2824321,36.8927057,1181.57628226815,4.917,"POINT (36.8927057 1.2824321 1181.5762822681527)","1717854875430.jpg","Waterpoint- acting as bathing place for humans and drinking place for cattle",347253529,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:1b9cd523-d6a2-4851-9e51-3a1d72e81bf3","a4E8PDPfBLNHwfgjV8obmT","1b9cd523-d6a2-4851-9e51-3a1d72e81bf3","submitted_via_web",2024-06-08 17:40:37,,"dtra_nk"
2024-06-08 13:57:37.932,2024-06-08 17:40:01.566,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2816077 36.892674 1175.5142160767132 4.873",1.2816077,36.892674,1175.51421607671,4.873,"POINT (36.892674 1.2816077 1175.5142160767132)","1717855086280.jpg","River",347253535,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:fdb751bc-74b8-4d71-ad4e-60b1ba32f3b6","a4E8PDPfBLNHwfgjV8obmT","fdb751bc-74b8-4d71-ad4e-60b1ba32f3b6","submitted_via_web",2024-06-08 17:40:39,,"dtra_nk"
2024-06-08 14:23:38.714,2024-06-08 17:40:12.99,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2771452 36.892432 1195.1592723979577 4.663",1.2771452,36.892432,1195.15927239796,4.663,"POINT (36.892432 1.2771452 1195.1592723979577)","1717856649774.jpg","This is a common grazing site for the community.",347253545,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:c6e8c1d0-1cf5-454f-a7b0-289f628bf98d","a4E8PDPfBLNHwfgjV8obmT","c6e8c1d0-1cf5-454f-a7b0-289f628bf98d","submitted_via_web",2024-06-08 17:40:40,,"dtra_nk"
2024-06-09 07:09:01.012,2024-06-09 17:31:40.698,2024-06-09,"collect:Ko3jwT6G31vuAcKR","1.295808 36.9044036 1282.2147714517907 3.988",1.295808,36.9044036,1282.21477145179,3.988,"POINT (36.9044036 1.295808 1282.2147714517907)","1717916967158.jpg",,347471806,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:4521e3d8-67b1-4dbb-be65-6e06589e2e07","a4E8PDPfBLNHwfgjV8obmT","4521e3d8-67b1-4dbb-be65-6e06589e2e07","submitted_via_web",2024-06-09 18:06:18,,"dtra_nk"
2024-06-10 04:51:10.466,2024-06-10 17:26:08.964,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2985991 36.889597 1224.5153452260981 4.778",1.2985991,36.889597,1224.5153452261,4.778,"POINT (36.889597 1.2985991 1224.5153452260981)","1717995131325.jpg",,347805460,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:e632d5e9-1cf9-4596-9e67-cc8a28d64e88","a4E8PDPfBLNHwfgjV8obmT","e632d5e9-1cf9-4596-9e67-cc8a28d64e88","submitted_via_web",2024-06-10 17:28:02,,"dtra_nk"
2024-06-10 08:30:23.171,2024-06-10 17:26:19.139,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2881504 36.9028582 1266.354349176606 3.933",1.2881504,36.9028582,1266.35434917661,3.933,"POINT (36.9028582 1.2881504 1266.354349176606)","1718008237151.jpg",,347805469,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:5a3e1222-dc2b-43c9-8ca3-442ac5d808e3","a4E8PDPfBLNHwfgjV8obmT","5a3e1222-dc2b-43c9-8ca3-442ac5d808e3","submitted_via_web",2024-06-10 17:28:04,,"dtra_nk"
2024-06-12 03:46:58.979,2024-06-12 17:25:34.655,2024-06-12,"collect:Ko3jwT6G31vuAcKR","1.3476174 37.1953553 1167.8681656172532 3.525",1.3476174,37.1953553,1167.86816561725,3.525,"POINT (37.1953553 1.3476174 1167.8681656172532)","1718164051469.jpg",,348605864,"25f937ce5bff4634bbce6a2c6da09d09","vC6k6rd3xQrjFXfmad8wcH","uuid:fdc1d8d5-cc7f-4f37-96ad-d7ee2793a675","a4E8PDPfBLNHwfgjV8obmT","fdc1d8d5-cc7f-4f37-96ad-d7ee2793a675","submitted_via_web",2024-06-12 17:31:50,,"dtra_nk"
